logic,window,penalty,dir_th,opt_sharpe,opt_ret,opt_dd,test_sharpe,test_ret,test_dd,test_total
baseline,14,0,OFF,1.3870670999913834,0.47200625775462024,0.23240067510257947,-2.8173549069191006,-0.6005218303042419,0.1929503312520364,-0.1291346568950722
sma,7,50,OFF,1.6148487082984606,0.5715763749859561,0.2406089461354721,1.1554488062111938,0.3503031787588009,0.12905787121773662,0.046294711074235106
ewm,7,50,OFF,1.9224494580865286,0.7402605958153587,0.2317342120130129,1.4611554738183685,0.4762484208433504,0.13643524266315094,0.060448982030444354
sma+dir,7,50,0.001,1.5176726957142868,0.5183187855871543,0.26262542923271553,-0.4846426688762352,-0.16236429344642767,0.20769402971356368,-0.02634393068910723
sma+dir,7,50,0.002,1.6169106792784944,0.5554507279186487,0.23759303651978717,-0.5818779565264767,-0.17613532516351704,0.18800097826936996,-0.02877299534185085
sma+dir,7,50,0.003,1.5947382904905827,0.5477271432693496,0.2493198646883734,0.7324598775121315,0.18168949441644577,0.17180445069490408,0.025475209759055373
sma,7,100,OFF,1.7910430720062278,0.6718348654917821,0.24334144504155125,2.463825660651017,0.9783876992859137,0.15147223387235467,0.10828042731144838
ewm,7,100,OFF,1.941232156869884,0.7527487867367002,0.23634638145528372,2.502196004997617,0.9623254338265672,0.15971235869925002,0.10691986901708495
sma+dir,7,100,0.001,1.5609277182686174,0.5544018740398944,0.27147993421749156,0.3852405070287269,0.07307913248380404,0.2207383241615786,0.01068482050832853
sma+dir,7,100,0.002,1.7221746369536353,0.62285962123552,0.24444007420361266,-0.08436930505491992,-0.05869262326769309,0.21470877412799474,-0.009072851042873142
sma+dir,7,100,0.003,1.7186938595512888,0.623021385993088,0.25207616593018795,1.3481977776650924,0.4085422196799535,0.18796852456454702,0.05297334488017369
sma,7,150,OFF,1.6987606885198616,0.6202871716690894,0.25410092176981747,2.591641278088646,0.9812729363234434,0.1714907952542134,0.10852382742634425
ewm,7,150,OFF,1.8909478303089653,0.7264618102418017,0.2503439103866023,2.828966242667405,1.1005447980503464,0.150797197121155,0.11833152497204691
sma+dir,7,150,0.001,1.5200810018492543,0.5304555221201235,0.24911523821680365,0.716747509001842,0.17510921920253364,0.20834154244203448,0.02461269809390987
sma+dir,7,150,0.002,1.6719224668502226,0.5951907209177543,0.24141665276660867,0.1651439714640425,0.00931551972925404,0.2034288745085576,0.0013981871915169641
sma+dir,7,150,0.003,1.6491663271961265,0.5860027100570919,0.2545558525444688,1.100455159362773,0.30177530521766727,0.19206381535671868,0.04054017682745292
sma,7,200,OFF,1.903293268989768,0.7243259451190345,0.2560103792597045,2.543828053935057,0.9757785316376646,0.18481376183412979,0.10806005682609277
ewm,7,200,OFF,1.7536546277510343,0.6419728453198128,0.27730591581626624,2.5684355820608613,0.8750592512261022,0.15855131167015923,0.09935826538298675
sma+dir,7,200,0.001,1.6250020963372414,0.5822541573339968,0.23946481570973188,1.0121354616757532,0.2792321132144402,0.21516920959163857,0.0378047544074811
sma+dir,7,200,0.002,1.794599567973097,0.6573845527659572,0.24295055717055272,0.8318844558725136,0.20723530654848576,0.20848121235513,0.028785444457015696
sma+dir,7,200,0.003,1.8066678611308393,0.6663027873324916,0.25513608223318157,1.9488989615280612,0.6442157716896628,0.19336554783635515,0.07780883298117036
sma,7,250,OFF,1.7602636994677763,0.6460657792703943,0.2676440591830665,1.3587031700213796,0.408924208614206,0.1909950646751119,0.05301636960542355
ewm,7,250,OFF,1.661928289027007,0.5956904163664294,0.27295004190544986,0.967791510956044,0.24953107308776934,0.19035494147534768,0.034137588931501206
sma+dir,7,250,0.001,1.6058392860037758,0.5728584117508779,0.24300919124736434,0.44664862561593266,0.08981082277023167,0.21249463267791002,0.013043864134079541
sma+dir,7,250,0.002,1.7273478834124731,0.6207392174942485,0.24481627983610196,0.06563622497724698,-0.018857888186510463,0.20671617529180894,-0.002864623666698596
sma+dir,7,250,0.003,1.6950810147451174,0.606145013041806,0.26678196003936394,0.7428595654743998,0.18371617202478574,0.20319269135784482,0.02574003550298598
sma,7,300,OFF,1.822885805283732,0.6778290477350766,0.26632502353100806,0.6713234732344731,0.1582710538347789,0.19785798805184313,0.02238680563391182
ewm,7,300,OFF,1.558654696800673,0.5495217101843515,0.2831001490274589,0.9841623834175697,0.2487005977194099,0.17722474065741783,0.034033991150588916
sma+dir,7,300,0.001,1.5684921003410857,0.5505926570764736,0.24691952388546437,0.08856406941968636,-0.012945335133984437,0.21754270365246964,-0.0019614767762026197
sma+dir,7,300,0.002,1.780121011965037,0.6463035717109769,0.22993094445999912,-0.6039775138417297,-0.17781675621249304,0.21680619997895312,-0.02907193976996547
sma+dir,7,300,0.003,1.7478235572314482,0.6325708920100155,0.25955040802843404,0.06285700441331812,-0.01924136998666326,0.20678351922542948,-0.0029233602777399836
sma,7,400,OFF,1.566159640374752,0.5471103542151856,0.29967421460776994,1.008477398578197,0.2869023444105887,0.20344078515319122,0.0387400339564381
ewm,7,400,OFF,1.4661338995984814,0.5067617044646475,0.27536675226279433,0.5354208708633874,0.11683706345572231,0.20076655518383177,0.01679017819318407
sma+dir,7,400,0.001,1.54101039612068,0.5322275600154571,0.26810164772573136,0.3930351237448821,0.07479176266153797,0.21846487918783442,0.010927718126814145
sma+dir,7,400,0.002,1.5897666770484284,0.5539991249203142,0.2753977177175261,0.21395652545593108,0.021186222735365634,0.20976958573641888,0.003164091992443163
sma+dir,7,400,0.003,1.5804391191438676,0.5500512226422594,0.2912409687653951,0.7953056276700697,0.20596097573293748,0.2013134062249135,0.02862173278174862
sma,7,500,OFF,1.3487258982536852,0.4484253842213084,0.2965795024284028,0.07316916116966495,-0.02154430080227021,0.21587940335002834,-0.003276503263502706
ewm,7,500,OFF,1.3344792979576374,0.442579320758987,0.3000815426004716,1.483746601135705,0.4695878103594988,0.19074499818094634,0.05972663179183102
sma+dir,7,500,0.001,1.4450690544589142,0.48974687383155624,0.26582619384653283,-0.033328519339406226,-0.05126940339712771,0.22079185707020557,-0.007899244215221146
sma+dir,7,500,0.002,1.3641140163934053,0.4534503743866043,0.2843593148063903,-0.4137958611170196,-0.14652321170832183,0.21680922616754883,-0.023591327516063743
sma+dir,7,500,0.003,1.3505795321007585,0.447961078506081,0.29657950246840353,-0.18711476851231393,-0.09252459627803422,0.21587940333552513,-0.014523325801475861
sma,7,700,OFF,1.2872828140601151,0.4170375329228999,0.29217398135870254,0.6809576117852688,0.16463670719654622,0.19681769144974684,0.0232315134493859
ewm,7,700,OFF,1.2807811707746637,0.42366046311303074,0.26734252386080604,-0.00420805364174747,-0.039977193755301066,0.20526736148786476,-0.006128821425108288
sma+dir,7,700,0.001,1.2934147488803824,0.41923957070248696,0.29232298055690126,0.31973926140316905,0.05206566121395406,0.2049813731811064,0.007677414624220225
sma+dir,7,700,0.002,1.3033065556403791,0.42240368482180735,0.28498133355473493,0.2975420627322946,0.04548721184494964,0.19778276541573375,0.006725433881903831
sma+dir,7,700,0.003,1.2760083256372634,0.4107951841585742,0.29969492231655065,0.5665196206241869,0.1271086252160667,0.1968176914419254,0.018193825283335796
sma,7,1000,OFF,1.1873473178891116,0.3772951402722611,0.2592563356570237,-0.10294655760266372,-0.069893669685822,0.21310577505743802,-0.01085869656322258
ewm,7,1000,OFF,1.2972702663846447,0.425514799399215,0.2759332229122718,-0.19634939030267554,-0.09262611833607604,0.20601100745975978,-0.014539939348226838
sma+dir,7,1000,0.001,1.2618500526196383,0.4088829495764381,0.24598099312410568,-0.07759262441946484,-0.06174639044537322,0.21002116806640891,-0.009557932988411455
sma+dir,7,1000,0.002,1.204196081049741,0.38453822248601166,0.25696463208853226,-0.11171095296777939,-0.0722125766342836,0.21310577505678868,-0.01123069331944715
sma+dir,7,1000,0.003,1.1873473178891116,0.3772951402722611,0.2592563356570237,-0.10294655760266372,-0.069893669685822,0.21310577505743802,-0.01085869656322258
sma,10,50,OFF,1.6086332331441762,0.5657397748793764,0.22829603336506937,1.1035824299295667,0.33263533275397483,0.12801821459525747,0.04422026509745414
ewm,10,50,OFF,1.7952584424383795,0.6713903243082209,0.2279839165978406,1.0073434630209113,0.282010888421778,0.1407199706854196,0.03814413677846784
sma+dir,10,50,0.001,1.5652097041421675,0.5416419513971629,0.2862316692732039,-0.01784407707749992,-0.04237051541476344,0.179598096460201,-0.006502570114673922
sma+dir,10,50,0.002,1.7031653042432564,0.5934684908926786,0.24357609940544664,0.8871284350597995,0.23258839539347176,0.1691753402270922,0.03201239958364499
sma+dir,10,50,0.003,1.689641846955434,0.5865210016427718,0.21758749692193405,1.461238141523293,0.44677151475541765,0.15724103917052495,0.057230918243002415
sma,10,100,OFF,1.8330687092990738,0.6938319360967959,0.23574161551704237,2.4395951364108375,0.9726449165331821,0.14452300159913167,0.10779506455616938
ewm,10,100,OFF,1.7972030326427326,0.6749740865584524,0.24131582367995968,2.694903167630497,1.0964529427778693,0.14175285856657233,0.1180029849709956
sma+dir,10,100,0.001,1.6847712823536407,0.6166697651947635,0.25506875469485185,0.950173044613365,0.2647523359419084,0.20822598983812698,0.03602608528279694
sma+dir,10,100,0.002,1.76518726601196,0.6480709903697455,0.24497245367321505,1.5980874301351324,0.5137711859228795,0.1865752066437935,0.06446739669018009
sma+dir,10,100,0.003,1.7971252770060944,0.6642551608924476,0.23252608378910014,1.7257984000721127,0.5748940423658193,0.17795160958433084,0.07083560929962207
sma,10,150,OFF,1.8669436523292129,0.7061940113841978,0.25361046937408693,3.4826656107110536,1.5261532586176827,0.13914027542287885,0.14985906032973828
ewm,10,150,OFF,1.91380094943961,0.7397270485433045,0.2529494944133323,3.4587861861388007,1.4927428055913232,0.1384142471025082,0.14755449281412036
sma+dir,10,150,0.001,1.718643464275407,0.6300579670987005,0.26893322047954826,1.4935994914363324,0.46092480202376507,0.18968253370715174,0.05878294770656067
sma+dir,10,150,0.002,1.806482907146294,0.6689617391366458,0.2649018146671347,2.1535637247566384,0.7326503921524692,0.17374263656093875,0.08635093334965771
sma+dir,10,150,0.003,1.8241751429848456,0.6754505577913388,0.2512885240922237,2.4393500615843093,0.8846786280460703,0.17088062765575548,0.10020626729042159
sma,10,200,OFF,1.9293290992257839,0.7328845504046666,0.2527227866743589,3.5549357006930884,1.5371023184358656,0.14360921469516938,0.15060866729002287
ewm,10,200,OFF,1.8893970730461007,0.7181292179057477,0.25303178424625344,3.718748417160037,1.6452923846917735,0.14173489179168738,0.1578716426522786
sma+dir,10,200,0.001,1.7930139393592597,0.6636463570686717,0.27783323772970875,1.7757998404665796,0.5504311277808636,0.17219145597224372,0.06831252162545365
sma+dir,10,200,0.002,1.9197913731238005,0.7209778741773629,0.2525851463377511,2.468343153182953,0.8358531681307675,0.1582537035676009,0.0958633494053529
sma+dir,10,200,0.003,1.8677696127438923,0.6925473596970917,0.25272278665272246,3.0935767069583044,1.1883475829024261,0.14989350666212917,0.12525357636576429
sma,10,250,OFF,1.8129961023673282,0.6769703432111183,0.26038317486738055,3.151455539981936,1.2930995072061835,0.15630985788907678,0.13320974391661622
ewm,10,250,OFF,1.8275204427910996,0.6799619541178723,0.2673771423317164,2.3896088068380745,0.7866649928320741,0.1555811952955761,0.09138781696447551
sma+dir,10,250,0.001,1.7090372184640727,0.6201026657233235,0.2759067422215678,1.8170388145736789,0.568034434928266,0.176415254147624,0.0701314916067386
sma+dir,10,250,0.002,1.7934819096774537,0.6613778541622259,0.25822385567845296,2.557753605820753,0.8981378634645987,0.16543267803354467,0.10138662528648501
sma+dir,10,250,0.003,1.7613340872092058,0.6454716495831043,0.2605752360292356,2.692149545592408,0.9884585260134597,0.16263835095406942,0.10912870164473132
sma,10,300,OFF,1.6849379150134427,0.6070691985176646,0.26769644394931463,1.8056750475489138,0.6222972286018014,0.18578846890410822,0.07563144250464093
ewm,10,300,OFF,1.7146668974440749,0.6230433400084263,0.285991732871018,1.1925382208691013,0.3211549341325708,0.18408254727288045,0.04285975445260726
sma+dir,10,300,0.001,1.5702945131270074,0.5503104003429513,0.26769461161899516,1.3075594330606999,0.3890236805162268,0.1943003423986194,0.050761601591358785
sma+dir,10,300,0.002,1.682033217269308,0.6015307670492998,0.26834782174998284,1.5611104058650582,0.48734692042630257,0.18512659660562103,0.06164650015892836
sma+dir,10,300,0.003,1.6647311894198182,0.5945139552254974,0.2700980287816861,1.7709659625972747,0.5778298610419137,0.1829354519860653,0.0711361663922534
sma,10,400,OFF,1.5852236912539364,0.5533531445447382,0.2930724550578293,1.2997414299380805,0.41357156574095977,0.20355269114948116,0.05353902548391831
ewm,10,400,OFF,1.437699553292291,0.4884755330667694,0.3215723924861641,0.7356714074791509,0.17972699548576787,0.19825733055832953,0.025218402356345315
sma+dir,10,400,0.001,1.510021822040213,0.5137502788597816,0.2564891823473846,0.9561781336893127,0.2698736700545572,0.2115552796474769,0.03665714805395304
sma+dir,10,400,0.002,1.56684718207075,0.5411568293964597,0.2922644645587006,1.3387869541184942,0.4154343010679351,0.2021939033592242,0.053748104719773204
sma+dir,10,400,0.003,1.5639764808301426,0.5415087021253124,0.2947432822802647,1.4757296343019475,0.4813275268759767,0.2024353406381733,0.06099795857597745
sma,10,500,OFF,1.4491362426487002,0.49084291776751154,0.3399265444908322,0.9964998855151059,0.2999715489194372,0.2102372741414273,0.04032279351743151
ewm,10,500,OFF,1.1989650666301832,0.38185071441852125,0.32725259967599657,1.5690647555314114,0.4983116847336886,0.19562282655900723,0.06282215873331665
sma+dir,10,500,0.001,1.4139803985676085,0.47433948303773255,0.32396728976036354,0.29962540037763763,0.04636906312833333,0.2135476659385275,0.006853343141321577
sma+dir,10,500,0.002,1.4541839643900816,0.49183030436906283,0.336648233425723,0.8081559967012971,0.22006588926672932,0.20732480486851673,0.030425646535435558
sma+dir,10,500,0.003,1.4066195888527124,0.47112673129261395,0.34226616735234405,1.0412784134011899,0.31163471822785227,0.20706314874677798,0.04172390273557047
sma,10,700,OFF,1.3736542672487764,0.4588831646515814,0.2901116404855962,1.0789547292938502,0.31677348032334907,0.18627966853397632,0.04233787203098749
ewm,10,700,OFF,1.3579424021177893,0.4516248342227296,0.29991776002152937,0.8151505099080424,0.20771373798985526,0.18745412331706449,0.028846870047988915
sma+dir,10,700,0.001,1.3969619421450583,0.4699629868467461,0.27681315858640904,0.6596595122269132,0.16189597862529692,0.1907784560389488,0.022868306869677113
sma+dir,10,700,0.002,1.4159841047816328,0.4782086354972259,0.2885314209286958,0.8549536538900624,0.2311833632483251,0.18627966852259703,0.03183504874296461
sma+dir,10,700,0.003,1.3694226788307522,0.4569508390675818,0.29011164047018745,1.0392705964381286,0.301335177712736,0.1862796685312935,0.040487157584469635
sma,10,1000,OFF,1.1171717596664419,0.34957355427348613,0.28022219369551477,1.1467950957522366,0.33940468142720626,0.17710974312269706,0.04501782368318796
ewm,10,1000,OFF,1.3825620060278407,0.4666830313266903,0.2732180150648225,0.5712821986827947,0.128749762579365,0.19347754497739136,0.01841708535809583
sma+dir,10,1000,0.001,1.186262309384584,0.3775090425099099,0.2680219702224187,0.6672273386220325,0.16528823590239106,0.18094996072704553,0.023317748468383304
